date,sender,msg_block
2022-01-04 04:37:49+00:00,,"hive, tr+53"
2022-01-04 14:20:32+00:00,Joanne,going to be at northspine table outside boost from 10.30pm onwards please take!
2022-01-06 04:43:39+00:00,,"hihi, i have free food. ns lt8"
2022-01-11 13:14:13+00:00,,hi i got 5 mash potatoes from kfc with spoons available at hall 16 dropoff point. still hot! auntie gaveaway as closing
2022-01-13 11:49:39+00:00,NTUFreeFood,30+ boxes of mee goreng up for grabs at wkwsci level 1 benches! pls help yourselves
2022-01-14 12:30:32+00:00,,"hi! i have 15 wholegrain fried beehoon (vegetarian friendly) at wkwsci, level 1. please help yourselves 🙏"
2022-01-14 14:04:59+00:00,NTUFreeFood,9 bento set + 1 vegetarian set available. pick up at the table in front of lhs tr+43
2022-01-15 05:47:39+00:00,NTUFreeFood,6 bentos available at tr22 in the arc
2022-01-15 06:47:31+00:00,NTUFreeFood,hello! we have 7 sandwich bento set + 6 mushroom soup left outside lhs-tr+22.
2022-01-17 12:48:57+00:00,NTUFreeFood,"hi! 40+ vegetarian friendly fried rice available at wkwsci, l2 (near the stairs). please help yourselves!"
2022-01-19 13:45:32+00:00,NTUFreeFood,"hi all, korean food here outside lt 22 with 10 bowls of soup  3 beef sets and 3 pork sets"
2022-01-20 12:21:16+00:00,,theres like 40+ boxes of beehoon in wkw!
2022-01-21 09:12:39+00:00,,"15+ mee goreng (vegetarian) available at wkw l2, near the lift."
2022-01-21 13:09:54+00:00,,"17 packs of vege fried beehoon at wkw l2, near the lift. please help yourselves 🙏"
2022-01-22 03:42:35+00:00,NTUFreeFood,28 boxes at wkw level 2 benches please help urselves
2022-01-23 03:06:23+00:00,NTUFreeFood,"hi, about 30 boxes of food at wkw level 2. please help urselves"
2022-01-23 07:04:41+00:00,NTUFreeFood,hi all some leftover pastries at wkw level 2. pls help urselves
2022-01-24 12:51:25+00:00,,"15 vegetarian fried beehoon, outside lt23. please feel free to come and collect! 🙏"
2022-01-26 11:41:35+00:00,,"hi! wsc foc has extra free food outside lkc theatre, left side is vegetarian right side is normal. all halal !!"
2022-01-27 12:06:54+00:00,Choo Ching 🧃,"hello theres 30+ packets of fried noodles at wkwsci level 1 benches (31 nanyang link, 637718)!"
2022-01-27 14:15:11+00:00,NTUFreeFood,"hi, there's some leftover veg and non veg bentos, jelly, water and garlic bread. outside lt2a"
2022-01-29 03:09:19+00:00,,wkw lvl2
2022-01-30 03:07:22+00:00,,wkw lvl2
2022-01-30 04:45:46+00:00,NTUFreeFood,same place - wkw level 2
2022-02-03 10:53:50+00:00,Choo Ching 🧃,"hello theres 30+ boxes of sandwiches + donuts at wkwsci level 1 benches (31 nanyang link, 637718)!"
2022-02-04 12:53:38+00:00,,15 vegetarian fried noodle kuey tiaw at wkw lvl 2
2022-02-07 12:03:29+00:00,,35+ vegetarian fried rice available at lt26!
2022-02-10 11:51:44+00:00,Choo Ching 🧃,"hello, 15 packets of stir fried noodles at wkwsci level 1 benches (31 nanyang link, 637718)!"
2022-02-11 11:16:31+00:00,,"30+ vegetarian mantou at wkw, level 2 near the lift. 😋"
2022-02-12 06:45:36+00:00,E,"7x lunch bento (halal, non- vegetarian) first come first serve. till 3.30pm only   outside s4-b5-sr1"
2022-02-13 05:05:13+00:00,E,5-8 pax halal non vegetarian bento available (while stock last)   outside s4-b5-sr1
2022-02-14 12:17:00+00:00,NTUFreeFood,"30 vegetarian fried beehoon outside lt22, south spine"
2022-02-15 13:30:28+00:00,Sin Yee Lee,11 packets of noodles bento (has seafood) 3 packets of fried rice bento (has seafood) 7 packets of vegetarian bento (in red plastic bag)   collect at admin office of nanyang crescent halls.
2022-02-17 12:00:33+00:00,Choo Ching 🧃,hello 14 boxes of vegetarian indonesian fried rice at wkwsci level 1 benches!
2022-02-19 05:21:53+00:00,Sun Xuan,one packet of vegetarian food;and 4desserts;wkw lvl2
2022-02-19 09:06:13+00:00,Sun Xuan,10 snacks;but a bit expired;wkw lvl2
2022-02-20 04:53:02+00:00,Sun Xuan,2packets of vegetarian food and some jelly;wkw lvl2
2022-02-20 07:51:36+00:00,Sun Xuan,wkw lvl2;9 packets
2022-02-21 12:48:22+00:00,W^2,20 packets of vegetarian fried hokkien mee   outside lt22.
2022-02-25 13:12:01+00:00,Bridget,"20 fried noodle available at wkw l2, near the lift. please help yourselves 🙏"
2022-02-26 03:00:02+00:00,NTUFreeFood,14 packets at wkw level 2
2022-02-26 05:34:15+00:00,NTUFreeFood,1 packet left at wkw level 2
2022-02-26 08:49:19+00:00,NTUFreeFood,"3 packet left(bread, cake, egg tart) at wkw level 2"
2022-02-27 02:57:42+00:00,Sun Xuan,20fried noodles at wkw lvl 2
2022-02-27 07:24:18+00:00,NTUFreeFood,6 packets of pizza and cake at wkw level 2
2022-02-28 13:11:44+00:00,Salmah :D,9 bento sets at the arc level b2
2022-02-28 14:50:18+00:00,NTUFreeFood,"4 bentos (1 veg) at arc tr 29, collect at security"
2022-03-04 10:21:29+00:00,Clive,"outside lt1 has free food. the red plastic bag is vegeterian, the rest are non-veg."
2022-03-05 07:00:27+00:00,Salmah :D,hi :d 7 halal bento sets at the arc level b2
2022-03-05 09:09:39+00:00,NTUFreeFood,"arc level 1, 18 extra bento set left over"
2022-03-06 12:02:58+00:00,Weitang,free food available in north hill function hall counter;please get it from person on duty
2022-03-07 12:17:43+00:00,Si jia Lai,5 non-veg beehoon and 3 veg beehoon oustside lt23
2022-03-09 14:58:32+00:00,NTUFreeFood,"a  lot of small prepacked food in one styrofoam box (cream puff, curry puff, egg tart and ondeh ondeh) outside canteen 13!"
2022-03-10 11:45:39+00:00,Choo Ching 🧃,"hello! theres bentos here at wkwsci (31 nanyang link, 637718): 8 x fried rice, chicken drumstick 2 x fried rice, cauliflower, mock shrimp (vegetarian option)"
2022-03-12 03:05:35+00:00,NTUFreeFood,leftovers at wkw l2!
2022-03-12 05:41:09+00:00,NTUFreeFood,5 halal bento sets and 3 vegetarian bento sets at arc b2 tables
2022-03-12 05:48:09+00:00,keristo,8x halal bento set at arc b2
2022-03-12 07:50:48+00:00,Sun Xuan,9 left;wkw lvl 2
2022-03-12 08:01:16+00:00,Sun Xuan,no more alr
2022-03-12 11:05:42+00:00,Salmah :D,"hi! :d 6 sets of nasi lemak outside tr +01 at the arc, level b2!"
2022-03-17 11:25:18+00:00,Sun Xuan,18 left at wkw lvl 1
2022-03-18 13:13:25+00:00,Carmen,we have some free food at arc b2 tr 7 if anyone is interested around 11 pax + 3 vegetarian meal text  clliimm for more details
2022-03-19 06:58:43+00:00,Carmen,hello! just want to let yall know that we have some free food: 4 pax veg + 2 non-veg +20 yeo wintermelon drinks. these are available at arc b2 tr 7. please text  clliimm for more information!
2022-03-20 06:12:57+00:00,Grace,"hi! we have 5 sets of halal nasi lemak at arc level 1, outside tr14! thank you 😊"
2022-03-20 06:53:46+00:00,Carmen,"hello!! just want to let yall know that we have some free food at arc b2 tr7. there are 19 jellys, 6 pax vegetarian and 6 pax non vegetarian ready for collection. contact  clliimm before coming."
2022-03-20 10:34:40+00:00,Grace,hii we have more bentos outside arc tr14! 14 sets of halal bentos with 1 vegetarian set. thank you!
2022-03-21 12:30:33+00:00,Bridget,"5 packs of mee siam and 7 vegetarian food available outside lt23, ss. please help yourselves 😋"
2022-03-24 11:34:25+00:00,Choo Ching 🧃,"hi, theres 13 non-veg bentos in wkwsci level 1 benches (31 nanyang link, 637718)"
2022-03-25 06:40:27+00:00,🦖,hi some bentos and drinks at rtp;reseach techno plaza
2022-03-25 11:01:27+00:00,NTUFreeFood,arc b2 tr+6  8 vegetarian and 2 non vegetarian
2022-03-25 13:22:48+00:00,Justin,"we have some free food outside lt1a! can we blast on ur channel?;4x ramly burger 19x takoyaki box of 6  2x carrot cake 2x cheng tng;for the takoyaki, the boxes are labelled:  s - squid p - prawn ck - chicken sausage crab;all the food are halal!"
2022-03-28 13:00:51+00:00,Si jia Lai,6 non veg bentos outside lt23
2022-03-29 07:54:26+00:00,Gary,there’s some curry puffs! outside koufu above boost at north spine!
2022-03-31 03:23:00+00:00,wei leng,58 x lakto cheese curd bar ice cream up for grabs outside sac   north spine
2022-03-31 10:59:30+00:00,NTUFreeFood,"[cleared] hi, free ice jelly drinks and cheese curd ice cream up for grabs outside sac at north spine, fcfs"
2022-04-04 12:33:41+00:00,Bridget,"11 mee siam with fish cake, and 4 vegetarian food outside lt23, ss."
2022-04-04 14:43:38+00:00,NTUFreeFood,about 10 sets of fried rice bento set with chicken and chestnut drink at can 13 cates pick up point
2022-04-06 09:06:17+00:00,NTUFreeFood,"hey ntu uwavers,   🍦 that's right ... we got ice creammmmm & drinksssss! 🥳 we are heartened by the #myfav stories you've been sharing on uwave. we also know the final weeks of the semester are approaching, so we're giving away some ice cream & drinks to cheer you on 💜  show us your #myfav post to get ice cream & drink from us! 😉   date: 7th april 2022 (thursday) time: 11 am - 4 pm  location: outside ntu north spine canteen (level 2)  limited to first 200 only.  see you tomorrow! 😉👋   xoxo  uwave team 💜"
2022-04-08 13:22:57+00:00,Si jia Lai,4 vegetarian beehoon near wkw lift  lvl 2
2022-04-11 12:24:57+00:00,Bridget,around 10 packs of fried beehoon outside lt23.
2022-04-14 11:40:47+00:00,Choo Ching 🧃,"hi theres 10 boxes of fried rice + sambal fishballs at wkwsci (31 nanyang link, s637718)"
2022-04-19 10:45:55+00:00,JiaXin,free ice cream at tama canteen
2022-04-26 06:08:46+00:00,NTUFreeFood,"10+ packets of curry chicken/nasi lemak bento sets at nanyang technopreneurship centre (ntc), research techno plaza, 2nd storey, borderx block."
2022-05-09 11:02:05+00:00,Shawn Ang (he/him),5 non vegetarian bentos (menu pictured) and a bunch of bananas and water at level 2 arc (highest floor) directly in front of the lift/beside tr36! :)  consume by time is 7.45pm!
2022-05-13 06:05:06+00:00,Leanne,"hi marisa, i have 6 non-vegetarian bentos (menu pictured) and fruits at nanyang technopreneurship centre (ntc), research techno plaza, 2nd storey, borderx block."
2022-05-14 05:19:48+00:00,Val,"lots of free food at south spine next to canteen opposite nbs side, honeydew as well in the styrofoam!"
2022-05-14 12:05:02+00:00,Shadow,- 3 packs of sandwiches + cream puff - 5 sets of aglio olio + potato + fish + chicken + broccoli  - 4 sets of fried rice + potato + fish + chicken + coleslaw   fruits are available as well  all halal certified. to be consumed immediately   collect at garage eee s1-b3-26
2022-05-20 12:58:43+00:00,chris,8x unopened bubble tea at ns tr 3
2022-05-21 04:48:56+00:00,jiang ronggg,"we have catered bento (braised pork, chicken and vegan options) outside activity room 2 at the wave (src)! but best consumed by 1145"
2022-05-21 04:56:27+00:00,NTUFreeFood,hello we have spare food at spms about 14 extra bento boxes! best eaten by 1530
2022-05-21 09:37:06+00:00,Shadow,halal food located at lkc. please come and collect by 6pm
2022-05-21 10:19:21+00:00,Shadow,4 vegetarian packs and 1 normal pack left!  collect outside lt22
2022-05-28 05:50:52+00:00,zejian,3 bentos outside arc tr+16
2022-06-08 04:28:29+00:00,NTUFreeFood,25 sets of tea break bento available at nanyang auditorium foyer
2022-06-08 06:18:02+00:00,NTUFreeFood,"buffet at nanyang audi till 2:30 pm, chicken, fish, rice, pasta n mushroom"
2022-06-08 08:24:47+00:00,NTUFreeFood,"hello, 40 sets of tea break bento in nanyang audi foyer."
2022-06-11 11:43:08+00:00,Daniel,"food outside lt19, come before 8.15pm"
2022-06-15 05:25:14+00:00,Filippo,"helloo, there is free noodle in spms entrance;it has not been touched"
2022-06-26 07:38:47+00:00,NTUFreeFood,"5 packets of cai peng with tofu, fish and cabbage outside north spine mcdonalds"
2022-07-01 11:28:48+00:00,NTUFreeFood,"food available at hive tr+47, take note the consume by is 6.45pm!"
2022-07-02 09:09:10+00:00,kelly,11 koi 50% milk tea w pearls outside lt1
2022-07-05 09:04:24+00:00,Jie Yong,free bento set at ntc x5
2022-07-05 11:04:49+00:00,Leng Ze Tang,hihi hive tr+47 got 2 extra bentos and some jellies
2022-07-14 05:35:17+00:00,Yx Leo,3 vegetarian and 7 non-vegetarian bento sets available at the arc tr+24
2022-07-14 09:35:51+00:00,Tash,hi marissa this is at tr+24 at the arc
2022-07-22 05:11:40+00:00,Qistina Roslan,"hi! i've got free food near lt19a, tons of them. do help me drop the word!;fish + vegetarian!"
2022-07-23 04:06:29+00:00,Leanne,"8 boxes of bento set at rtp foyer.  50 nanyang dr, singapore 637553"
2022-07-23 09:09:56+00:00,Leanne,"13 boxes of bento set at research techno plaza foyer.  50 nanyang dr, singapore 637553"
2022-07-25 11:11:45+00:00,c o l l e e n ✨,each-a-cup milk tea with pearls (x9 cups) outside sac room!!
2022-07-26 10:41:29+00:00,c o l l e e n ✨,nine fresh dessert (x 18 cups) outside  lkclt benches [above cheers   level 2]!;location!
2022-07-27 08:32:03+00:00,NTUFreeFood,about 100 portions outside lt1a
2022-07-29 11:34:32+00:00,NTUFreeFood,free food outside lt5 (ns)
2022-07-30 01:55:27+00:00,NTUFreeFood,"extra nasi lemak from hall 2 ori breakfast, all fresh. at hall 2 blk 1"
2022-07-31 06:19:29+00:00,John,free roasted pork rice at lt5
2022-07-31 09:06:57+00:00,John,roasted pork rice  hall 10
2022-07-31 14:19:16+00:00,wenqing,"got like a lot of pizza and bentos outside hall 3 comms hall, at least like 60+"
2022-08-01 04:10:06+00:00,NTUFreeFood,140 portions outside lt1a
2022-08-01 05:08:37+00:00,Ding,hey marisa! there is free ice cream at north spine! by uwave;we have over 200 free ice cream here!;just show the uwave app. most ntu students have the uwave app
2022-08-01 05:51:36+00:00,Ding,sorry for late notice. we will only be there until 2pm!
2022-08-02 04:29:12+00:00,Ding,we have free drinks at north spine! until 2pm. just need to show uwave app profile to collect one free zeste drink
2022-08-02 04:39:59+00:00,angela ☀️🦉,free fish and chicken bentos at shhk undergraduate office  cut off-time: 1pm
2022-08-02 05:06:03+00:00,del,hi! there’s extra food at ss b3 benches!  ~30+ non-veg ~10+ vegetarian  to consume by 1:30pm!
2022-08-02 05:29:10+00:00,victoria ong,"hi! we've got free buffet food at abn level 1 (at the open space)! caterer coming to clear at 2pm so while stocks last;hi we have free food at spms 3rd floor atrium;left is non vege meal, there are 7 of them. on the right is 6 vegetarian meal"
2022-08-02 05:56:05+00:00,Yu Hong,approx 60 non vegetarian & 9 vegetarian food  sbs lobby
2022-08-03 05:02:03+00:00,lav,this is at lvl 5 of spms approx 60+ of bento sets
2022-08-03 05:07:42+00:00,NTUFreeFood,hello! there are some free food at shhk ug office! collect by 1.45pm
2022-08-03 05:37:57+00:00,NTUFreeFood,abt 20 boxes vegetarian bentos at tr52
2022-08-03 06:54:31+00:00,Yu Hong,63 non vegetarians and 10 vegetarians  sbs lobby;22 packs of nasi lemak bento and 17 packs of vegetarian (blue pack) bento up for grabs at ss b3 benches! consume by 2.15pm
2022-08-03 08:03:26+00:00,NTUFreeFood,"hello, there's leftover bentos at lt1a. blue bag is vegetarian"
2022-08-03 09:36:48+00:00,lav,"lvl 3 atrium spms!!;beehoon, egg & chicken"
2022-08-04 05:17:05+00:00,NTUFreeFood,"50+ packs of fried rice bento  20+ packs of vegetarian bento 40+ bowls of honeydew sago  ss b3 benches, to be consumed by 1:30pm!"
2022-08-04 06:00:25+00:00,kelly,free bento outside lt1a  halal option  -stewed curry vegetable -chicken rendang -wholegrain sambal fried rice -curry puff  vegetarian option  -sambal kangkong -assorted mixed vegetables -wholegrain pumpkin rice -spring roll;those in blue plastic bags are vegetarian
2022-08-04 07:49:00+00:00,Yu Hong,~50 non vegetarian and 6 vegetarian food at sbs lobby
2022-08-04 11:34:21+00:00,yixin,"hi we have 89 boxes of bento food at crespion, all halal and non vegetarian. the consumed time is by 645pm. we will be putting them at crespion drop off point."
2022-08-04 14:07:06+00:00,lav,hall 3 carpark area !!
2022-08-05 04:36:43+00:00,lav,"spms atrium lvl 3!! egg, fish and chicken with rice;jelly also!!!"
2022-08-05 05:01:48+00:00,Yu Hong,~90 nasi lemak bentos and 16 vegetarian bee hoon meals at spms lobby car pick up point;11 packs of halal free food outside lt26
2022-08-05 05:14:56+00:00,kelly,gong cha 50% milk tea at aia canopy
2022-08-05 07:06:22+00:00,Amay Jolly,jasmine tea and 4 seasons tea outside lt 25
2022-08-05 09:48:19+00:00,yixin,"hello, we have 84 boxes of muffins and chicken puffs, outside lt19a!"
2022-08-05 13:34:33+00:00,yixin,4 boxes of bread (06/08/2022 expiry) and pastry outside lt19a
2022-08-08 05:55:40+00:00,zoe 🫧,hi! theres free food at shhk until 3pm
2022-08-10 04:58:50+00:00,Clarissa Lim,7 sets of free food at arc lt collect by 1.15pm!
2022-08-10 11:29:19+00:00,Si jia Lai,nasi lemak and vegetarian beehoon at wkw lvl2
2022-08-11 11:05:18+00:00,Choo Ching 🧃,"hihi, theres 26 nasi lemak halal bentos (fishcake & egg) at wkwsci level 2, right infront of the benches   31 nanyang link, s(637718)"
2022-08-11 12:03:11+00:00,Tash,buffet line at lkc emb building. bring own box to tabao. thanks.
2022-08-11 12:21:08+00:00,NTUFreeFood,got 8 pax non veg nasi lemak bento and 1 pax veg bento at the hive level 3 infront tr 56
2022-08-11 12:43:20+00:00,Rachel,outside lt1a 29 veg 20 non veg. all halal. thanks!
2022-08-13 05:35:49+00:00,Trina Chong,bento boxes at shhk foyer  - 28 halal - 12 vegetarian
2022-08-13 07:31:07+00:00,Nicholas Cheong,outside lt7
2022-08-13 11:25:53+00:00,NTUFreeFood,adm level 2
2022-08-15 02:19:28+00:00,Luchi,hall 2 blk 8 level 2
2022-08-15 14:16:26+00:00,Esther See,free bread buns outside hall 4 admin office table. bring own plastic bags or box
2022-08-16 07:02:39+00:00,NTUFreeFood,hi there's free food at lkc lt function room (level b1)
2022-08-16 11:29:14+00:00,Choo Ching 🧃,"hi theres 16 halal, non-veg bentos (nasi lemak w fish cake & egg) and 2 halal veg bentos (beehoon w vege and gyoza) at wkwsci level 2 bench, right outside the lift, s(637718)!"
2022-08-17 04:18:23+00:00,Karen Toh,free food at lt 5
2022-08-17 11:14:16+00:00,Si jia Lai,4 meat and one vegetarian bento at wkw lvl 2
2022-08-18 06:05:08+00:00,Karen Toh,free food at lt22
2022-08-18 11:38:20+00:00,Choo Ching 🧃,"hi theres 4 vegetarian bento, 1 halal bento! all halal at wkwsci level 2 bench, s(637718);hi, got 12 pax non veg and 2 pax veg bento in front tr 56 hive"
2022-08-19 08:15:22+00:00,WeiDee,"hi there are 10 vegetarian, 35 non-vege bentos, all halal. at wkwsci lvl 2"
2022-08-19 11:28:21+00:00,Vin,"food at wkwsci lvl2 3veg, 4nonveg"
2022-08-20 03:43:10+00:00,WeiDee,"hi, 28 breakfast bentos at wkwsci lvl 2 (all halal)"
2022-08-20 06:48:05+00:00,WeiDee,5 halal lunch bentos outside wkwsci lvl 2 lift + matcha pudding
2022-08-20 07:13:02+00:00,NTUFreeFood,3 bentos at hall 6
2022-08-21 03:24:43+00:00,WeiDee,"11 non-vege, 1 vege breakfast bento outside wkwsci lvl 2 lift"
2022-08-22 13:32:53+00:00,Hon Lim,"hi, there are 3 sets of vegetarian bento on the table outside of lt7"
2022-08-22 14:26:20+00:00,Esther See,bread buns on table outside hall 4 admin office. bring yr own plastic bags n containers
2022-08-23 05:45:47+00:00,Caleb,spms atrium (level 3)
2022-08-24 14:27:34+00:00,Esther See,assorted kueh on hall 4 admin table. fcfs
2022-08-25 10:33:07+00:00,NTUFreeFood,pizza at sbs lobby
2022-08-25 11:01:54+00:00,Choo Ching 🧃,"hello, 2 non-vegetarian bentos at level 2 wkwsci, s(637718)"
2022-08-25 11:25:00+00:00,Hogan,14 non veg and 2 veg bentos at the hive lv3 in front tr 56 (halal certified)
2022-08-25 12:02:13+00:00,Sky Song,"3 vege bentos at lt19 bench, halal certified"
2022-08-25 12:07:37+00:00,NTUFreeFood,bentos at nanyang audi
2022-08-25 13:24:31+00:00,bryan,hello! could i seek for your help to post on ntu free food that there are 5 bento boxes at hall 10? thank you!
2022-08-26 07:33:54+00:00,WeiDee,"9 vege, 25 non-vege bentos at wkwsci lvl 2"
2022-08-27 02:23:28+00:00,NTUFreeFood,9 box of breakfast bento at wkw lvl2
2022-08-27 05:41:35+00:00,WeiDee,17 coconut pudding at wkwsci lvl 2
2022-08-28 02:47:35+00:00,WeiDee,8 boxes of breakfast bento outside wkwsci lvl 2 lift
2022-08-28 05:41:28+00:00,Sun Xuan,"hi, there’s 5 packets of vegetarian bento at wkw lvl2"
2022-08-30 07:22:10+00:00,NTUFreeFood,lt18 have 30 sets of bento
2022-08-30 11:00:27+00:00,Choo Ching 🧃,"hello, 11 non-veg bentos and 2 veg bentos   wkwsci level 2, s (637718)"
2022-08-31 05:12:53+00:00,Decong Li,free food at nie canteen 1st floor
2022-08-31 10:29:26+00:00,Si jia Lai,9 non veg fried mee near lift area at wkw lvl2
2022-08-31 14:38:23+00:00,Chung Jiajun,"hello! free bread from food rescue, hall 9"
2022-09-01 10:47:49+00:00,Choo Ching 🧃,"hello 12 non veg bentos & 2 veg at wkwsci level 2, 31 nanyang link, s (637718)"
2022-09-01 11:28:05+00:00,Hogan,"18 pax non veg, 1 pax veg, 10 water cup at the hive tr 56 lvl 3 (halal cert)"
2022-09-02 11:33:52+00:00,Vin,15 nonveg and water cups wkwsci lvl2
2022-09-02 14:12:42+00:00,Cedric ⚡️,72x pastry boxes at lkclt foyer
2022-09-05 05:57:43+00:00,Shu Min,"27 bentos at arc, tr+14!"
2022-09-05 14:22:44+00:00,Salmah :D,hi :d 11 halal bento sets at hive level b3 outside tr19!
2022-09-07 11:03:24+00:00,Si jia Lai,2 non veg meehoon at wkw lvl 2
2022-09-07 11:34:16+00:00,JiaXin,catering at outside lt2a
2022-09-07 13:00:07+00:00,NTUFreeFood,hi! we have a lot of leftover food in ase in north spine
2022-09-08 11:10:00+00:00,NTUFreeFood,free food outside the cohass auditorium. pls byo containers
2022-09-08 11:57:30+00:00,Hogan,"hi, here got 14 non veg, 1 veg bebtos (halal cert) at hive lvl 3 in front tr 56"
2022-09-09 06:30:24+00:00,Zhang Yong,matcha kitkats (expire oct) outside src swimming pool
2022-09-09 11:19:05+00:00,NTUFreeFood,nanyang audi foyer
2022-09-09 11:24:48+00:00,Vin,wkwsci lvl2 14 nonveg
2022-09-09 12:14:46+00:00,NTUFreeFood,wkw bentos cleared
2022-09-10 06:26:48+00:00,NTUFreeFood,"hi, there’s 10 bento at wkw lvl3"
2022-09-10 10:40:47+00:00,NTUFreeFood,11 veg and 23 non veg bentos at nanyang audi
2022-09-11 05:46:38+00:00,Kimberly Wong,free food at s4 b1a (in front of the lifts) bring own containers
2022-09-13 05:09:54+00:00,Yao Hui | Jayson,"free food at abn level 1 , infront of graduate college. bring your own container."
2022-09-14 06:13:31+00:00,NTUFreeFood,free food at south spine s4 b5 to be cleared by 430pm
2022-09-14 06:42:04+00:00,Yu Yun,hi free food outside tct
2022-09-14 14:29:41+00:00,Chung Jiajun,"hello! free bread from bread rescue, hall 9 collection point table"
2022-09-15 11:35:55+00:00,Hogan,"hi, got 13 non veg, 3 veg bentos (halal cert) at hive lvl 3 in front tr 56"
2022-09-16 11:32:08+00:00,Vin,14 nonveg at wkwsci lvl2
2022-09-17 05:32:25+00:00,Sun Xuan,"hi, 8 bento at wkw lvl 3"
2022-09-17 11:27:38+00:00,WenZhen,free food outside lt8! executive bento :)
2022-09-17 14:36:18+00:00,NTUFreeFood,"ntu hall 4 under block 27 letterbox, free unopened oatly"
2022-09-18 05:00:59+00:00,Sun Xuan,"hi, 7 bento at wkw lvl 3;hi, 7 bento at wkw lvl 3;hi, 7 bento at wkw lvl 3"
2022-09-20 11:24:55+00:00,YJ,hi free food outside lt3
2022-09-21 11:05:39+00:00,Si jia Lai,three packs of vegetarian and 1 pack of chicken rice
2022-09-21 14:08:59+00:00,Chung Jiajun,"hello! free bread from food rescue, hall 9 canteen :-)"
2022-09-21 15:02:16+00:00,NTUFreeFood,chicken puffs at north spine tables near mcdonalds
2022-09-22 12:20:39+00:00,🛶🐈‍⬛🦜🦪🍃🌊🛶🍃,"hi we have free mooncakes outside binjai hall 19b’s jcrc room! :);buffet at hss foyer until 9pm!;hi, here got 10 veg, 2 non veg bentos (halal cert) at hive lvl 3 in front tr 56"
2022-09-23 11:25:30+00:00,Vin,"wkwsci lvl2 11nonveg, 3 veg"
2022-09-23 12:44:24+00:00,Z,nanyang auditorium level 3 have noodles and chicken. cleared by 9pm. please help to post. thank you.
2022-09-24 05:11:52+00:00,qing,5 packets (4 halal + 1 veg) at table outside the hive lhs tr+25
2022-09-24 05:19:10+00:00,Sun Xuan,"hi, 5 bentos at wkw lvl 3"
2022-09-26 09:25:48+00:00,NTUFreeFood,free food   lt1
2022-09-27 09:18:19+00:00,kelly yuen,food at nanyang auditorium lvl 3 clear about 5.30pm.. event ended alr
2022-09-28 06:07:22+00:00,NTUFreeFood,"the arc level 1 - vegetarian fried brown rice, spring roll, sweet and sour fish fillet, oat cereal prawn, vegetables"
2022-09-28 08:09:52+00:00,NTUFreeFood,the arc level 1
2022-09-28 11:31:24+00:00,NTUFreeFood,"more at the arc level 1 - fried brown rice, chicken chop, teriyaki baked fish, vegetables, chicken sausage egg, lotus pau, ginko nut soup"
2022-09-28 14:14:45+00:00,Chung Jiajun,hello! free bread at hall 9 collection point from food rescue :-)
2022-09-29 06:05:06+00:00,NTUFreeFood,free food outside lt 23 consume by 3pm
2022-09-30 05:32:03+00:00,sriracha is sauce,"hi, two free bentos at global lounge!"
2022-09-30 05:51:50+00:00,Kai Yi,we have 18 non-veg bento boxes and 2 vegetarian at lt6
2022-09-30 08:25:05+00:00,Wei Kiat Goh,"hi, we have 11 non-veg and 3 veg bentos at arc b2 outside tr+5, but it is best consumed 2.30pm so please take at your own risk! take by 5.30pm if you want else we will throw them away :)"
2022-09-30 11:35:01+00:00,v,"hello! we have 1 veg noodle , cabbage and 1 non veg fried rice at 50 nanyang clubhouse. it’s near hall 8 and opp src"
2022-10-01 04:58:26+00:00,Danqi Wang,"non veg bento: 8, veg bento: 1. location: spms level 3 mas atrium"
2022-10-01 05:06:18+00:00,Sun Xuan,15 bento at wkw lvl 3
2022-10-03 12:16:04+00:00,ES,hi! have free food buffet at the hive level 3 rooftop :)
2022-10-04 10:49:43+00:00,Choo Ching 🧃,hello 26 non veg bentos at wkwsci level 2 (31 nanyang link)
2022-10-05 06:00:09+00:00,Yao Hui | Jayson,free food at graduate college ntu.  abn level 1. bring your own container.   to be cleared by 2.45pm
2022-10-06 11:48:53+00:00,Hogan,"hi l, here got 15 non veg, 3 veg bento set (halal cert) at hive lvl 2 tr 52"
2022-10-07 07:49:58+00:00,Teoh Yeeguan,hi 20 nasi lemak bento at wkwsci level 2
2022-10-07 11:25:52+00:00,Vin,wkwsci lvl 2 8 nonveg and 1 veg
