date,sender,msg_block
2022-10-08 04:20:31+00:00,richelle adarsh,hi! non veg and veg bentos at tan chin tuan lt 2
2022-10-09 08:15:25+00:00,Joey Er,"2 loafs of white brand at lower rugby field grandstand!!!;hi! there are 3 non veg and 3 veg bentos but supposed to be consumed by 3.15pm, at wkw lvl 2"
2022-10-09 09:56:26+00:00,Ck,free starbucks black coffee at wkw lvl 2
2022-10-10 14:19:04+00:00,Chung Jiajun,free fruits at hall 9 pick up point!
2022-10-10 15:48:56+00:00,Hannah,"oatly, dated 19 sep 2022. also at hall 9 pick up point!"
2022-10-11 10:44:37+00:00,NTUFreeFood,hello! we have some some free food in ns lt11. clearing by 7pm!
2022-10-11 11:49:55+00:00,mingdao,"chee chong fun, potato salad and fruit punch outside tct  thanks!!"
2022-10-12 11:37:27+00:00,Si jia Lai,two veg bento at wkw lvl 2
2022-10-12 13:04:55+00:00,Archit,we have 8 bubble teas and 1 green tea at scse ilab (n4-b2b-14)
2022-10-12 14:23:42+00:00,Hannah,free bread at hall 9 security counter!
2022-10-13 02:50:54+00:00,mandy,"🎉🎉🎉 calling all ntu students, paik's bibim is giving away *free paik's coffee beverages ☕️🍋😋  where, when & how to redeem? 📍paik's bibim ntu   north spine ✨14th october 2022 (friday)  🕛 from 12pm - 6pm only  help us fill in this 1-minute survey and flash the completed survey to redeem! https://forms.gle/pawmcnzmwqgiz7tc6  *while stock lasts"
2022-10-13 06:08:06+00:00,NTUFreeFood,"hi, there is free food outside of ns lt4"
2022-10-13 11:31:47+00:00,NTUFreeFood,"15 halal bento sets and 4 vegetarian sets outside tr15 at the arc;hi, here got 19 non veg, 5 veg, halal cert bentos at hive lvl 2 in front tr 51"
2022-10-14 07:28:14+00:00,Teoh Yeeguan,17 bento at wkwsci level 2
2022-10-14 11:25:47+00:00,Vin,13 nonveg at wkwsci lvl2
2022-10-15 06:16:05+00:00,Praveen,free drinks outside lt10
2022-10-15 12:57:15+00:00,NTUFreeFood,free food in front of chinese heritage center. raydys beehoon. approach any staff wearing the raydys shirt
2022-10-19 10:57:26+00:00,Si jia Lai,10 thai basil chicken bento and 5 veg char siew bento in front of wkw lift  lvl 2
2022-10-21 11:41:08+00:00,Vin,wkwsci lvl2 6 nonveg 4 veg
2022-10-22 05:32:01+00:00,AZZ,leftover bento sets at nie in between lt7 & lt8 (halal with vegetarian options)
2022-10-22 10:45:36+00:00,NTUFreeFood,"17 bento sets up for grabs at pioneer/crescent hall canteen!  food was for our event this afternoon, expired on 12.30pm but probably still edible before tonight, just require some microwaving. but take at your own risk"
2022-10-25 07:20:38+00:00,Yilin Wang,we have got some seminar food left at hss;at hss 0557;tell them the room next to 0557;it’s like a balcony so no room number
2022-10-25 11:26:10+00:00,Choo Ching 🧃,hello 4 x nonveg bento at wkwsci level 2
2022-10-26 14:06:21+00:00,Chung Jiajun,free bread at hall 9 security counter!
2022-10-27 07:19:36+00:00,Le Han,"spms lv 2, no utensils however"
2022-10-27 11:35:47+00:00,Hogan,"hi, here got 15 non veg, 4 veg bento set (halal cert) at hive lvl 2 tr 52"
2022-10-28 11:08:32+00:00,NTUFreeFood,"hi, there's buffet food at the lkc lecture hall function room"
2022-10-28 11:23:40+00:00,Vin,wkwsci lvl2 9 nonveg
2022-10-28 12:40:52+00:00,liying,halal beehoon and brocolli with cutlery provided   the src   the waves level 2 benches
2022-10-29 07:05:20+00:00,elena,hi! free food at lt7 north spine (3 pizzas and coke)
2022-10-31 14:07:33+00:00,Esther See,"jasmine tea n coffee drinks. bbd is 7/22, 4/22 respectively.  hall 4 admin office table"
2022-10-31 15:30:13+00:00,Hannah,"abundance of soya milk, fruit tea and jasmine tea at hall 9 pick up point.   the milk is dated dec 2021 but it is safe for consumption."
2022-11-02 06:20:01+00:00,Yao Hui | Jayson,14 snack boxes up for grab at abn lv1 graduate college. to be cleared by 2.30pm
2022-11-02 11:15:29+00:00,NTUFreeFood,there is a buffet the arc reading room (b1)
2022-11-03 11:37:41+00:00,Hogan,"hi, here got 15 non veg, 2 veg bento set (halal cert) at hive lvl 3 tr 56"
2022-11-04 06:52:21+00:00,NTUFreeFood,3 bentos left at north spine aia canopy
2022-11-04 13:09:17+00:00,Sky Song,"48 non veg halal certified bentos, 2 jellies and mineral waters at lt22 bench"
2022-11-07 09:53:24+00:00,NTUFreeFood,"hi there, we have some buffet food outside lt1a!!"
2022-11-09 11:38:21+00:00,jessie,6 vegetarian bentos at rtp
2022-11-10 11:22:15+00:00,Hogan,"hi, here got 15 non veg, 2 veg bento set (halal cert) at hive lvl 3 tr 56"
2022-11-10 13:37:47+00:00,Sarah T,packet drinks outside arc tr+15!
2022-11-11 04:19:33+00:00,Yao Hui | Jayson,"free food at abn level 1 , infront of graduate college. bring your own container. to be cleared by 1pm"
2022-11-11 11:26:03+00:00,Vin,wkwsci lvl2 2 nonveg 1 veg
2022-11-12 15:52:45+00:00,NTUFreeFood,there is free ahlian beehoon in front of tamarind indian stall
2022-11-14 04:57:04+00:00,NTUFreeFood,more food at fh1 ntu  one-north consume by 2pm
2022-11-14 09:00:53+00:00,Esther See,free oatmilk. bbd 9 nov. on table outside hall 4 admin office
2022-11-16 04:06:27+00:00,John,some leftover food at aia canopy.
2022-11-16 05:03:00+00:00,qj,hive level 3 outside tr+ 55 consume by 1pm
2022-11-16 14:32:21+00:00,Esther See,bread buns on hall 4 admin table.
2022-11-20 15:23:39+00:00,NTUFreeFood,"rescued groceries in ntu hall 1 block 14, some are a few days expired but the rest aren't, pls contact  xinyuan94"
2022-11-22 09:09:12+00:00,NTUFreeFood,refreshments   nanyang audi
2022-11-24 04:50:40+00:00,NTUFreeFood,hi there is free buffet at the arc level 2 outside tr 36  the plates have to put at the blue box or ppl have to take their own containers
2022-11-25 02:44:37+00:00,NTUFreeFood,cartons of instant noodles good for at least another 6 months. these are excess stocks from nearby factories in boon lay. please help yourselves!
2022-11-25 05:04:48+00:00,NTUFreeFood,"free food at hive l3. bring your own plate, clear by 2.30pm"
2022-11-25 10:33:45+00:00,NTUFreeFood,free food at adm l1 both veg and non veg
2022-11-25 14:26:29+00:00,Esther See,bread buns on hall 4 admin table
2022-11-28 11:10:16+00:00,,save the date  ntu_sg  ntu.su students‼️ you have won 1000 cups of classic milk tea with golden pearls (m) 🤩  here’s the details for collection: ✨date: 30/11/22 ✨time: 12-6pm ✨location: liho tea   ntu hss #01-11  do present your mylihotea membership and a valid ntu student pass for redemption.   *terms & conditions apply. while stocks last! each student is only valid for one redemption. drink received is classic milk tea with golden pearl (m) with fixed ice level and sugar. collection only valid on 30/11/22 from 12-6pm at ntu hss outlet #01-11.  #liho #里喝
2022-11-30 04:51:54+00:00,NTUFreeFood,emb building lvl 5 outside collab 1 and 2  will clear off by 2pm
2022-11-30 07:44:45+00:00,,save the date  ntu_sg  ntu.su students‼️ you have won 1000 cups of classic milk tea with golden pearls (m) 🤩  here’s the details for collection: ✨date: 30/11/22 ✨time: 12-6pm ✨location: liho tea   ntu hss #01-11  do present your mylihotea membership and a valid ntu student pass for redemption.   *terms & conditions apply. while stocks last! each student is only valid for one redemption. drink received is classic milk tea with golden pearl (m) with fixed ice level and sugar. collection only valid on 30/11/22 from 12-6pm at ntu hss outlet #01-11.  #liho #里喝
2022-12-02 02:50:58+00:00,NTUFreeFood,"instant noodles, expired august 2022 but still good for at least 8 months. left stack has pork, right stack halal  location hss building outside undergraduate education office"
2022-12-02 06:06:03+00:00,Chee Hang,"hi, there's some leftover food at experimental medicine building lvl5. not sure when the caterers will come and clean up."
2022-12-02 13:44:59+00:00,NTUFreeFood,20 pax food at mcdonalds northspine
2022-12-03 05:21:34+00:00,NTUFreeFood,"hi, there is free bento at lt27, consume by time is 2.30pm"
2022-12-07 03:21:38+00:00,Hui Lin,hai there is free food in spms mas atrium lvl 3
2022-12-07 05:18:51+00:00,Priya,"hi, there is some leftover food at arc level 1, near tr 32. have to clear by 2pm."
2022-12-07 06:26:55+00:00,Hui Lin,hi there is another round of free food at spms mas atrium lvl 3 to be cleared by 2.40pm
2022-12-07 08:11:17+00:00,Hui Lin,hi there is free food at spms atrium to be cleared by 5.30pm
2022-12-08 05:04:32+00:00,Rishav,free food in nanyang audi level 3 outside hall b
2022-12-09 05:11:25+00:00,Xenon,"hive b2 outside tr+29, 12 non-veg, 1 veg, consume by 1.30pm"
2022-12-09 10:46:09+00:00,ES,"free starbucks english breakfast tea travellers set, mostly full"
2022-12-09 11:02:18+00:00,Evan,hello! there's some buffet food left at mas atrium (spms)
2022-12-09 11:25:03+00:00,Rishav,free food with drinks outside nanyang audi opposite to zitimama's
2022-12-09 11:57:45+00:00,Yek How,"1 vegetarian bento and 4 non-vegetarian (halal) bentos arc, table beside tr26 note: labelled best consumed by 8pm, so take at own risk"
2022-12-10 05:04:16+00:00,Nat,extra fried rice at tama admin office! consumed at own risk due to exceeded timeframe
2022-12-12 04:39:30+00:00,Zane Oh,"hi, we have about 50 packets of bento and pudding leftover (ss b3 benches opposite cheers) expire 1:30pm"
2022-12-12 05:01:08+00:00,Carol,the arc tr+30. bring your own utensils. clearing at 2pm.
2022-12-12 09:17:58+00:00,ES,"free starbucks coffee traveller's set with sugar and milk, at the arc beside tr+25"
2022-12-12 11:19:27+00:00,Zane Oh,"hi, we have about 50 packets of bento and pudding leftover , got some vegetarian as well (ss b3 benches opposite cheers) expire 8pm"
2022-12-13 02:24:35+00:00,Iggy💤,"  ss b3 benches, food is good for today. 63 chocolate rolls 25 eclairs"
2022-12-13 04:48:41+00:00,Js," sbs, bottles of peach bubble milk tea & coffee bubble milk tea   expire today (13/12/22)"
2022-12-13 05:10:46+00:00,NTUFreeFood,"hi, we have free halal lunch at spms john bardeen room now. it’s halal."
2022-12-16 04:55:20+00:00,NTUFreeFood,sandwiches and fruits outside s4-b4b-30. sandwiches consume by 10.15
2022-12-16 05:34:10+00:00,NTUFreeFood,"hi we have 100 packs of packed food outside lt2a that’s free for anyone to take, as well as a carton of water"
2022-12-17 13:09:16+00:00,JiaJun (ノ><)ノ︵ ┻━┻,free food available at tama fh!!! if you want can take whole tray!!
2022-12-21 11:56:43+00:00,A.Z,~8 bentos   arc b2. was for dinner around 6pm so consume at your own risk.
2022-12-28 12:55:42+00:00,Qiao Tong,"2 braised pork rice and 3 char siew rice, bought at 6pm, consume at own risk"
2023-01-02 04:35:13+00:00,Shawn Ang (he/him),"hello! free rescued bakery buns at saraca, hall 9, and crespion food delivery drop off points!   the bread buns have a variety of fillings (chicken, cheese, otah, tuna, ham, sweet potato, yam, meat floss etc.), but **please bring your own containers and bags to take whatever you want from the larger bags at each delivery table (i havn't provided any bags)**.  best to eat them within the next few days or refrigerate them, eat at your own discretion!"
2023-01-04 05:14:33+00:00,Won Rebecca,"hi, we have food here at spms atrium at level 3. please come before caterer remove them."
2023-01-04 05:32:09+00:00,Esther See,"chocolate n original oatmilk, made in italy. exp 23/11. above letterbox of blk 26, admin blk of hall 4;buffet line at hive b1, in front of tr 41. clearing at 2 pm;graduate college"
2023-01-04 10:52:49+00:00,Sarah Zhu,halal buffet line at b1 hive. will be cleared at 8pm.
2023-01-05 11:01:32+00:00,ShaoWei,free food outside tanchintuan lt
2023-01-06 07:11:18+00:00,Jia Min,"there are some leftover food (curry chicken, rice, vegetarian curry, nuts etc.) on the table outside the hive l1. feel free to take! 😋"
2023-01-06 11:43:13+00:00,NTUFreeFood,hi! have free food buffet at the hive level 3 rooftop :) please bring your own container
2023-01-07 12:15:05+00:00,Esther See,chocolate n original oat milk. exp 23/11. made in italy. above letterbox of blk 27 hall 4
2023-01-09 10:26:09+00:00,nicole 💗,"hello, there's free food outside lt3, clearing at 7:15pm. thank you."
2023-01-09 13:14:20+00:00,jingyi \(≧▽≦)/,hello! bento outside arc tr 30
2023-01-10 10:33:51+00:00,nicole 💗,"hello, there's free food buffet outside lt5. clearing at 7pm."
2023-01-10 11:04:00+00:00,,hey niners‼️ come on down to hall 8 function hall to get your free ice cream 🍦🌈
2023-01-11 10:13:17+00:00,kay en,🚨🚨**free ice cream drop happening **** hall6**🚨🚨 find us outside the mph and bring yr friends🍦🍦🍦
2023-01-11 11:06:05+00:00,chenming,"hellosss, there is surplus free food at banyan hall, closing collection at 8pm"
2023-01-11 12:35:36+00:00,Shreya Gopi,"hi! here's some free food at wkwsci level 1, near the lee foundation lt"
2023-01-11 13:44:53+00:00,hannah yeo,hi free food bento at hall 5 mph
2023-01-12 12:22:51+00:00,NTUFreeFood,free icecream at crespion canteen closing 9pm
2023-01-12 13:54:50+00:00,NTUFreeFood,leftovers at tamarind function hall cleating at 1030pm
2023-01-13 11:33:50+00:00,NTUFreeFood,"free oat milk, chocolate and original flavours, best before date was nov 2022 earliest, pick up from delivery room in crescent hall near the football field. room has a vending machine."
2023-01-14 04:04:51+00:00,richelle adarsh,hi! free veg and non veg bentos outside lt 23
2023-01-14 05:19:18+00:00,Ankita,food and drinks available near lt 23 in ss- non veg and non halal
2023-01-14 05:28:07+00:00,Kevin Lee,free nasi lemak (non-vegan/vegan) in front of lt 7 ns!
2023-01-14 06:23:29+00:00,richelle adarsh,hi! free veg and non veg bentos outside lt 23
2023-01-14 06:52:26+00:00,Jocelyn Leong,"hi, we have vegetarian beehoon with omnimeat outside lt20.;hi, we have crespion caifan at the hive level 2 outside tr+53, no pork and no beef"
2023-01-14 08:24:26+00:00,Zhiqing,4 pack free halal non-veg bento above lt19a (carpark a level) at the bench there. next to cates collection point. to be consumed by 2pm.
2023-01-14 08:35:40+00:00,NTUFreeFood,hi there is some yeeshang left outside lt23. covered
2023-01-14 09:23:56+00:00,kish 🌃🎇🌉🎆,"buffet at shhk building until 6pm;hi, there's free food at cohass"
2023-01-15 04:17:49+00:00,Fu Jun,"free food at the hive b4 no beef, halal, no cutleries provided"
2023-01-15 04:40:56+00:00,Esha Peer,free chinese food in pantry 3rd floor of hall 8
2023-01-15 13:05:46+00:00,Junyong,"crespion caifan at south spine s1-b3c-26, in front of garage eee"
2023-01-16 09:37:32+00:00,Alice Jessica,hello we have some bbt in spms mas atrium
2023-01-16 10:30:25+00:00,nicole 💗,"hello, there's free food buffet outside lt3 but there's no paper plates. pls bring ur own containers, thank you. clearing at 7pm."
2023-01-16 11:22:31+00:00,Janeil,"hi guys, drop sighted at hall 8 again!!! come by quick, they are only here till 7.30pm!!"
2023-01-16 13:54:47+00:00,Salmah :D,"l1 arc, 4 vegetarian (red bag) + 10 nonveg bento set >< thank you :d"
2023-01-17 08:32:32+00:00,ninette,"nanyang audi level 3 vegetarian & non-veg bentos, clear by 6pm but eat at own risk (consume by 245pm)"
2023-01-17 13:27:09+00:00,NTUFreeFood,hi there are some waterbottes   wkwsci level 2
2023-01-18 09:52:36+00:00,Chew You Chun,buffet at tct lt pavilion. clear by 6:45pm
2023-01-18 11:12:28+00:00,NTUFreeFood,there is a buffet outside global lounge!
2023-01-18 13:20:16+00:00,ninette,free food at nanyang audi b1 at corner near honour roll
2023-01-19 12:12:05+00:00,Ian Teng,free ice cream 🍦   crescent hall back 2 school event!
2023-01-19 12:18:06+00:00,NTUFreeFood,hello free food at lkc theatre;lkc foyer above cheers!
2023-01-20 06:56:33+00:00,Phyllis,hive level 3!! clearing by 4pm
2023-01-24 12:10:35+00:00,NTUFreeFood,"hello! could you let ntu free food know that at around 9pm people can come down to banyan 21b lift lobby area to get free food? i have a lot of nasi briyani, beehoon, curry mutton, curry chicken, and chilli boiled egg. please bring your own tupperware and spoons to scoop the food! we need help to clear the food asap. thank you!"
2023-01-25 08:54:12+00:00,NTUFreeFood,[ cleared ] hi! hall10 main building 1st floor (store) finish at 5:30pm today
2023-01-25 10:04:06+00:00,NTUFreeFood,hello there is free ice cream outside can 14 from 6-8pm
2023-01-26 13:13:08+00:00,kay_pee27,hii we have a buffet at lt 2a
2023-01-27 06:10:02+00:00,Zi Wei 🐖,hello! extra food at abn b2!
2023-01-27 11:08:57+00:00,NTUFreeFood,hii free oranges at spms 3rd floor atrium
2023-01-27 13:17:27+00:00,NTUFreeFood,steamboat materials at arc b2!
2023-01-28 13:37:10+00:00,NTUFreeFood,hiii there’s free food at ntu arc tr 14!!
2023-01-28 13:55:53+00:00,Esther See,lots of bread buns just rescued fr bakery that bakes fresh daily. bring yr own bags or containers. hall 4 admin table
2023-01-31 06:13:41+00:00,Royston,hello we have free food here at abn-b2b-10 (psp lounge).
2023-01-31 07:56:44+00:00,𝖕𝖍𝖔𝖊𝖇𝖊 ❦,free ice cream;at lkclt lvl 2
2023-01-31 11:54:56+00:00,NTUFreeFood,"hi ,we have free food at wkwsci level 2, near the lift."
2023-02-01 07:23:35+00:00,Michael Yuhas,free spread in front of gc at abn north
2023-02-01 07:35:47+00:00,JH,"outside lt4 sandwiches (mushrooms, chicken), etc to be cleared cleared within 30 min;outside lt4 sandwiches (mushrooms, chicken), etc to be cleared cleared within 30 min"
2023-02-02 05:44:00+00:00,Sno,"the arc tr+08, clearing around 2.30pm, bring own utensils"
2023-02-02 12:06:01+00:00,hub,location: outside lt27 clearing time: 2030 / 2100
2023-02-02 12:43:22+00:00,NTUFreeFood,"hello! there’s free milk tea and honey aiyu at saraca’s drop off point, about 200"
2023-02-02 13:25:36+00:00,janelle,hello! free vadai at hall 10 function room
2023-02-03 08:58:30+00:00,NTUFreeFood,non halal bento 5set at lt23 ss. big portions
2023-02-03 12:22:50+00:00,Jia Jun,"hello!   gem discoverer is having an information talk on 7 feb 2023, tuesday for students who are looking for a summer opportunity. for registering for the gem discoverer information talks, you will receive a free **lunch bento** and an exclusive gem discoverer t-shirt! stocks are limited, register now to secure your bento and t-shirt!"
2023-02-04 08:52:09+00:00,seöwhüi,hello there's 8 + 1 vegetarian caifan outside lt9! prepared ard 12pm. all halal
2023-02-05 07:15:39+00:00,Balaji,chicken bento (halal) and vegetarian bento boxes outside lt5
2023-02-07 08:20:02+00:00,teamotits,"free bubble tea at aia canopy, while stocks lasts;free ice cream at aia canopy, while stock lasts"
2023-02-07 10:45:48+00:00,NTUFreeFood,"hi! this is for ntu free food, but the canteen 16 uncle gave free chicken chops to clear his supplies, and i left them at hall 12 table beside the cates lockers. it’s freshly prepared and good to clear by 8 pm! :)"
2023-02-08 05:18:31+00:00,Yx Leo,"free food at the hive, outside tr35"
2023-02-09 05:17:57+00:00,NTUFreeFood,buffet at graduate college
2023-02-09 08:10:34+00:00,NTUFreeFood,hi theres free food in ns aia canopy area
2023-02-10 05:28:49+00:00,Yvettty,"free bbt outside arc tr+14, while stock last"
2023-02-10 07:49:31+00:00,clara💓,free leftovers outside ns1-1 lt15
2023-02-14 08:51:26+00:00,Bel,"at spms outside lt2 area, clear by 6pm"
2023-02-15 04:16:23+00:00,hm,"hi, there’s free food outside ntu emb learning studio, clearing by 1pm."
2023-02-15 04:41:18+00:00,Esther See,"oatmilk, chocolate, coffee, original. exp dec22. at blk 27 letterbox,  hall 4"
2023-02-15 08:25:31+00:00,NTUFreeFood,outside s4 b2 benches exp 12 dec. 5 pieces
2023-02-15 09:31:48+00:00,Zhiqing,free food outside lhs-tr+47. clearing at 6.30pm. feel free to come and network with company from mindef mco too!!
2023-02-15 13:19:41+00:00,mabel,"hi! we have 19 cups of coffee from fine food up for grabs :) outside the hive tr 53, level 2"
2023-02-16 10:02:21+00:00,realkevinyok,"free food outside sac, consume at your own risk"
2023-02-17 07:43:34+00:00,Zhiqing,12 pack of bento outside lt15. consumed by 4.15pm. eat at own risk.
2023-02-17 11:19:34+00:00,Kevin Nathanael Gunawan,"hi, we got 2 box of biscuits expiring today, in front of tr+25 arc"
2023-02-18 05:15:26+00:00,🐘,"hello, some food available at shhk level 5, next to the conference room.;hello, some food available at shhk level 5, next to the conference room."
2023-02-18 05:29:47+00:00,NTUFreeFood,"there are 5 non veg food bentos at the hive l2, and around 10 mango puddings"
2023-02-19 03:47:58+00:00,NTUFreeFood,"there are around 7 non veg food bentos at the hive l2, expiration time 12:15"
2023-02-20 05:16:52+00:00,Seán,free food ntu scse block n4 clears at 1.30ish
2023-02-20 07:25:46+00:00,nicolette,hi! we are giving out free ice cream near cheers at south spine!
2023-02-21 05:10:06+00:00,Audi,"hi! halal lunch buffet available at nie, linkway between blk 1 & 2. clears 2.30pm"
2023-02-21 09:15:22+00:00,NTUFreeFood,shhk (previously cohass building near hive) foyer giving out free ice cream in exchange for a 30 second ssurvey
2023-02-22 05:36:41+00:00,Audi,"halal lunch buffet available at nie, limited qty left!  venue: level 1 linkway between blk 4 & 5 (near canteen)  clears 2.30pm"
2023-02-22 10:05:26+00:00,NTUFreeFood,shhk foyer giving out free ice cream in exchange for a 30 second ssurvey
2023-02-24 08:06:38+00:00,NTUFreeFood,"there are around 11 food bentos (10 non veg and 1 veg) at the hive l2, exp time 4:45pm"
2023-02-24 13:04:08+00:00,NTUFreeFood,lt1 north spine for the next 15min
2023-02-25 03:51:10+00:00,NTUFreeFood,"there are 9 food bentos (8 non veg and 1 veg) at the hive l2, exp time 12:15pm"
2023-02-25 04:55:01+00:00,NTUFreeFood,"hi, we have 100 non veg and 20 veg bento at arc tr 27"
2023-02-25 06:20:53+00:00,NTUFreeFood,"there are 5 food bentos (4 non veg and 1 veg), and dessert (choco eclair and cheng teng) at the hive l2, exp time 2:45pm"
2023-02-25 07:34:20+00:00,NTUFreeFood,non veg bentos and apples available
2023-02-25 09:29:08+00:00,Shawn Ang (he/him),2 nonveg bentos and watermelon avail at ase booth at school of biological sciences atrium!
2023-02-25 10:38:14+00:00,Pragyat Karna,veg and non veg bentos available at tr+33
2023-02-26 03:21:46+00:00,NTUFreeFood,"there are 6 food bentos (5 non veg and 1 veg), at the hive l2, exp time 12:15pm"
2023-02-28 03:02:06+00:00,YSR,some teabreak snacks still available outside arc's lt
2023-03-02 05:18:32+00:00,YSR,"at the arc, outside tr+14. available from 1.30-2pm"
2023-03-02 12:15:56+00:00,Yvettty,14 bentos + 3 veg up for grab outside hive tr+53
2023-03-02 14:53:31+00:00,NTUFreeFood,hi there! there’s free otah (cooked) and corn from bbq still available at hall 13.
2023-03-03 03:48:30+00:00,Chong,food available in front northspine level 1. permission granted from organiser
2023-03-03 04:12:03+00:00,Chong,food available in front northspine level 1. permission granted from organiser
2023-03-03 05:21:55+00:00,Xinhua,"free food at lt2a    chicken pie, sandwich, siew mai, carrot cake"
2023-03-03 09:25:48+00:00,YSR,food available outside tr+15  until 6pm.
2023-03-04 03:59:13+00:00,Haydn 🐆,the arc training room 15. ready to eat at 1150am
2023-03-04 09:01:04+00:00,Syl,hi free food at lkc lt leftovers
2023-03-04 09:49:54+00:00,realkevinyok,free food at aia canopy
2023-03-06 12:08:12+00:00,Fredrick Lee,free leftover buffet outside lt14
2023-03-06 12:37:19+00:00,NTUFreeFood,"we have 18 bento from our event at the arc, outside tr+30."
2023-03-07 06:06:11+00:00,Harsh Rao,"10-20 bentos outside lt 17, north spine consume by 3.15 pm"
2023-03-07 09:36:59+00:00,Chee Hang,"hi, there's still some light refreshments at abn, outside graduate college. can help share to free food telegram"
2023-03-08 08:11:06+00:00,Abigail,"popcorn, cotton candy and drinks in arc b2 in front of tr+3"
2023-03-08 13:12:57+00:00,NTUFreeFood,hi! we have free food left in hall 5 mph. cleaning up at 9.30 pm
2023-03-09 05:09:54+00:00,NTUFreeFood,"hi, free food at experimental medicine building (emb), level 1, outside administration office."
2023-03-10 09:02:49+00:00,Bel,"hi, for the free food chat, available at shhk b1 tr+2, clearing time is 515"
2023-03-11 05:06:47+00:00,Zaheen,box full of bandung and dessert on the right bottom of lwn library entrance staircase!;hi here are some free food at arc tr+15 feel free to take
2023-03-11 13:08:32+00:00,khai 🪩,hi! there’s free bento at level 2 wkw near spiral staircase at the back. but take at own risk since it was delivered in the morning and consume by 1145am!
2023-03-11 13:15:32+00:00,Isaac Ling,"free bento at hall 4 admin office, eat at own risk (consume by 8pm)"
2023-03-12 04:36:10+00:00,Clara,there are 22 bentos and mango puddings at arc l1 opp lobby! please consume before 1:30 (otherwise consume at ur own risk)
2023-03-12 06:27:06+00:00,Gerald,"hi, 6-8 leftover bento sets at nh cates collection point. consume by time:1.30pm"
2023-03-15 06:08:09+00:00,Leng Ze Tang,"free food at lkc exhibition gallery (b1), till 2.25pm before they close up"
2023-03-15 08:45:50+00:00,Kai Ng,hello! free oatmilk from dirty clean food at hall12/13;expired 10 feb (a month ago) rescued from factory
2023-03-15 11:44:35+00:00,Evan,hello there is free food outside s4 lt27.. will be cleared at 930
2023-03-15 13:15:38+00:00,Bhumika Dembla,free food at aia canopy
2023-03-15 13:52:42+00:00,andre,hello! theres free food at hall 4 admin office;however expired at 7.15pm
2023-03-16 05:13:40+00:00,Hui Jing,free to drop by aia canopy to get free goodies and ice cream (until 4.30pm)
2023-03-16 13:08:18+00:00,イエンシュエン,free food outside nanyang audi;consume at ur own risk bc supposed to be consumed by 645pm
2023-03-17 14:41:17+00:00,Zheng Yi,"hi! there are some ah lian beehoon left at hive outside b2 tr29, prepared around 5pm today. take at ur own risk"
2023-03-18 04:57:13+00:00,Zheng Yi,"hi! there are some non-vege meals at athena(beside lwn), consume by 2pm"
